trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-6.108489728960617,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,14,-47.6776028967976,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-204.51523418789392,"{0: 15, 1: 7, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-66.73245374352618,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-138.87841629207236,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-37.40339489894294,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-103.39894056370196,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-61.21404611870557,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,8,10.907725099423015,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-48.542177914146336,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-58.96140130788,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-17.927920907916032,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,10,3.6156697030098472,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-101.0913960425249,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,10,8.37182266780252,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,11,2.4225463713520448,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,6,-70.28757612867223,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-9.080646675820669,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-21.57787605342758,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,12,16.95941238054644,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,5,23.81463886578969,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-28.98788860129219,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-11.532982595839501,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,41.55306989716446,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,5,28.21548773873585,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,13,31.802379906464775,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-23.05555194720104,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,24.928249651851914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,28.58308238733525,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,9,-16.592044085070754,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
