trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950041652780258}",20,0,-38.96066762491688,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9800665778412416}",25,0,-66.72582117350517,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.955336489125606}",25,0,-128.57557252147456,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9210609940028851}",35,20,-51.986382862965556,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.8775825618903728}",30,0,-142.9093037864144,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.8253356149096782}",25,0,-24.397857832824958,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.7648421872844884}",25,0,-134.6351329392887,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6967067093471654}",20,0,-35.128960004823576,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6216099682706644}",20,0,-78.39795701806723,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,2,-16.60779470256106,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4535961214255773}",25,10,16.45914974191046,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.3623577544766734}",30,4,21.288494537174294,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.26749882862458735}",25,11,20.21297720857619,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.16996714290024081}",25,0,-72.80900040341352,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.0707372016677029}",30,23,13.006936694766988,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.029199522301288815}",25,5,-21.56003378550181,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.12884449429552486}",30,0,-20.210790041502808,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
