trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-227.48972939247207,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.66213902933778,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-59.70806114185729,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-217.21847568128868,"{0: 15, 1: 2, 2: 10, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,15,4.46152995830885,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.7703035476318,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.98150373321405,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,10,-18.524419964930285,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.25848662170992,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,10,-76.21634986217175,"{0: 6, 1: 3, 2: 5, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.2791102488796,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.12704322979481,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,4,-86.75170744024764,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.39595701131105,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.6119686862013,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.12615297395652,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.39917168960639,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.28233823304345,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.32478785605167,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.49967540324513,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-231.48251891380866,"{0: 15, 1: 5, 2: 6, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-224.2098886171208,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.11967501388224,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-52.44757814024984,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.64735804063916,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-161.18723611278205,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.1516560020913,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-135.48307172184238,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.63627900134769,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.80192825400643,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
